location,x,y,z,yaw,pitch,roll,Distance To Packoff,Distance To SPH
BufferE(66),630.787,-290.7291,543.0904,137.5821,90.0,-180.0,559.650884434648,945.7576448799281
BufferE(67),547.5147,-373.8588,543.088,137.4825,90.0,-180.0,568.2336252905626,950.1254538440426
BufferE(68),463.8955,-454.798,543.0847,137.3287,90.0,-180.0,598.9021491281774,967.0757559048587
BufferE(69),383.0384,-537.2139,543.0803,136.8964,90.0,-180.0,650.1047036035977,999.5472744595735
BufferE(70),297.0954,-626.2217,543.077,138.1127,90.0,-180.0,722.0185430579992,1048.198667418594
BufferE(71),631.8354,-289.5526,477.4707,137.4731,90.0,-180.0,504.1122304412577,914.2094527341861
BufferE(72),545.0774,-378.2647,477.427,138.6414,90.0,-180.0,515.3148939211787,920.4942003886804
BufferE(73),467.4146,-454.06,476.7264,136.8365,90.0,-180.0,546.6196229157289,936.9949307360749
BufferE(74),384.4287,-535.2771,476.7264,136.7233,90.0,-180.0,600.9699676371638,968.3612744058831
BufferE(75),299.8313,-620.7177,476.7261,137.2386,90.0,-180.0,674.710387935585,1015.4348174669923
BufferE(76),628.9277,-292.4532,411.7996,138.2428,90.0,-180.0,451.08364125187205,886.3164141740014
BufferE(77),548.8118,-373.2627,411.799,137.4115,90.0,-180.0,461.8526794599719,891.4378083064752
BufferE(78),465.5874,-457.6386,411.7981,137.5194,90.0,-180.0,501.24825045614637,912.2333201271197
BufferE(79),377.8755,-544.59,411.7981,138.826,90.0,-180.0,565.5945551187331,948.0969162358888
BufferE(80),296.806,-625.8184,411.7975,138.3857,90.0,-180.0,641.3850016952654,994.597829423119
BufferE(81),628.9275,-292.7435,346.7874,138.2082,90.0,-180.0,402.5896205335324,863.0476570640453
BufferE(82),547.1197,-376.4514,346.7734,138.062,90.0,-180.0,416.0361429351344,869.485860741643
BufferE(83),465.6743,-456.4687,345.4517,137.3803,90.0,-180.0,456.245582570023,888.1213192091359
BufferE(84),378.7094,-544.1363,345.4353,138.6172,90.0,-180.0,526.4496296656705,925.7009965531213
BufferE(85),297.1305,-627.0898,345.4229,138.5577,90.0,-180.0,608.5542479059477,974.6126245769536
BufferE(86),627.8204,-292.4588,282.4237,138.4081,90.0,-180.0,358.8043242477153,843.1664511040865
BufferE(87),547.373,-374.0332,282.4217,137.6458,90.0,-180.0,372.93131335239156,849.0336272264863
BufferE(88),462.8714,-458.9901,278.3173,138.1587,90.0,-180.0,419.3807759043344,869.895360512632
BufferE(89),378.74,-543.6557,278.3167,138.6323,90.0,-180.0,492.8700537546278,907.1110697599242
BufferE(90),298.7242,-625.4149,278.3122,138.1079,90.0,-180.0,578.2768444322664,956.2381198694665
BufferE(91),627.7429,-293.4556,211.5329,138.5402,90.0,-180.0,320.2883398285576,828.2375024886486
BufferE(92),549.8361,-372.9825,212.1957,137.3069,90.0,-180.0,335.9318058257354,834.4078486364135
BufferE(93),467.6581,-454.2202,210.5962,136.8697,90.0,-180.0,384.6830159268792,854.050118564659
BufferE(94),379.3931,-544.1623,211.873,138.5784,90.0,-180.0,467.6821156056382,894.4371639624072
BufferE(95),296.7953,-627.8144,210.5025,138.7383,90.0,-180.0,558.9106579456198,945.0851965415404
BufferE(96),632.7476,-289.6232,147.1311,137.2685,90.0,-180.0,296.473419744819,820.1907842912624
BufferE(97),545.9348,-377.0977,146.9732,138.4009,90.0,-180.0,313.82730071416603,826.1056269038942
BufferE(98),464.7201,-457.6775,146.9726,137.9388,90.0,-180.0,367.46852304397123,846.912839508899
BufferE(99),379.9828,-542.723,145.4909,138.3431,90.0,-180.0,449.0720863216991,884.7704646565571
BufferE(100),300.9331,-623.9579,145.193,137.4993,90.0,-180.0,540.3459742518357,934.6288423495574
BufferF(1),237.1437,-647.0482,1401.209,92.7874,90.0,-180.0,1458.4548291918732,1633.4335955398947
BufferF(2),120.2143,-647.8282,1401.214,92.70155,90.0,-180.0,1477.885436838477,1623.7989928408786
BufferF(3),3.908178,-648.5984,1401.211,92.42386,90.0,-180.0,1505.9868873423416,1622.5302910549326
BufferF(4),-110.2374,-648.9679,1401.206,91.93526,90.0,-180.0,1541.482747312689,1629.157250871985
BufferF(5),-231.8165,-649.7585,1401.2,92.64018,90.0,-180.0,1587.601143611016,1645.1421876059862
BufferF(6),239.121,-648.8291,1336.834,92.18619,90.0,-180.0,1399.9235363088499,1582.4366370621417
BufferF(7),123.1196,-648.9099,1335.913,91.96705,90.0,-180.0,1418.6979051414419,1571.2346603461508
BufferF(8),6.068307,-649.408,1335.913,91.95261,90.0,-180.0,1447.8281938493874,1569.56716287298
BufferF(9),-112.7122,-650.3746,1335.821,92.34087,90.0,-180.0,1486.346149835793,1576.975928252065
BufferF(10),-231.5076,-648.6945,1333.774,92.55207,90.0,-180.0,1530.55728363444,1590.143560520155
BufferF(11),235.5618,-649.6223,1268.289,93.16703,90.0,-180.0,1338.510485938618,1527.8462269882048
BufferF(12),119.1029,-648.728,1268.178,92.97633,90.0,-180.0,1358.9138472096809,1516.5829990004888
BufferF(13),1.298101,-648.7764,1268.145,93.00037,90.0,-180.0,1389.6576157954596,1514.885027637587
BufferF(14),-116.3272,-649.3402,1268.081,93.01638,90.0,-180.0,1429.5806693454012,1522.5970275152852
BufferF(15),-232.0214,-648.9828,1268.066,92.83081,90.0,-180.0,1476.6584800585156,1538.4330769035403
BufferF(16),239.7406,-648.7476,1202.584,92.3307,90.0,-180.0,1278.5478870586921,1476.6173254091848
BufferF(17),120.5461,-649.2759,1202.583,92.60803,90.0,-180.0,1300.842504554708,1465.4542422086724
BufferF(18),7.169712,-648.1357,1201.899,91.83552,90.0,-180.0,1330.378584502379,1462.22878001745
BufferF(19),-110.5037,-649.4854,1202.229,91.9418,90.0,-180.0,1372.1860264350953,1470.5507026214134
BufferF(20),-230.6126,-649.8893,1202.218,92.54228,90.0,-180.0,1422.9984233504954,1487.7538245760811
BufferF(21),238.3525,-648.742,1136.256,92.67921,90.0,-180.0,1219.8423122282552,1425.887150127085
BufferF(22),121.0627,-648.4315,1136.256,92.62071,90.0,-180.0,1242.498196552287,1414.0070884139932
BufferF(23),6.344452,-649.5589,1136.256,92.11475,90.0,-180.0,1275.3593835019976,1412.6787645782547
BufferF(24),-114.3969,-649.1061,1136.117,92.82735,90.0,-180.0,1319.078241689933,1420.1513088843858
BufferF(25),-226.0888,-650.7938,1135.327,91.61959,90.0,-180.0,1368.1124309643144,1436.9505989737568
BufferF(26),237.1075,-647.7645,1069.489,93.05183,90.0,-180.0,1161.0991448023228,1375.5371077295044
BufferF(27),118.8502,-648.5998,1069.478,93.12624,90.0,-180.0,1185.7637296353796,1364.0308428018475
BufferF(28),7.328265,-648.9265,1069.478,91.95155,90.0,-180.0,1218.9207519201852,1362.2239153145517
BufferF(29),-113.3398,-649.4119,1069.479,92.63934,90.0,-180.0,1264.9913536861332,1370.6153258639522
BufferF(30),-230.1414,-651.4072,1069.428,92.4268,90.0,-180.0,1319.1941168104433,1389.684636970451
BufferF(31),236.7086,-649.5116,1003.126,93.08302,90.0,-180.0,1104.82036338587,1328.9335846998276
BufferF(32),121.6125,-649.2661,1003.089,92.63783,90.0,-180.0,1129.37656118751,1316.4809341315392
BufferF(33),6.093254,-648.7045,1003.089,92.23841,90.0,-180.0,1164.870564135442,1313.8455417792186
BufferF(34),-111.4965,-648.743,1003.109,92.24095,90.0,-180.0,1211.5814046954235,1322.0073104140308
BufferF(35),-228.4141,-650.8126,1003.03,92.07915,90.0,-180.0,1267.9714815130092,1341.6630863442863
BufferF(36),238.3557,-648.787,937.915,92.76359,90.0,-180.0,1049.0453150813914,1283.403169736957
BufferF(37),119.4721,-649.801,936.3949,93.10288,90.0,-180.0,1075.1802530199545,1270.0004430794984
BufferF(38),5.308405,-648.1807,936.3946,92.30632,90.0,-180.0,1111.6026327917812,1266.6599552257637
BufferF(39),-111.3154,-649.502,936.3952,92.2252,90.0,-180.0,1160.6842586072362,1275.9915083677
BufferF(40),-227.2882,-651.183,936.3955,91.89217,90.0,-180.0,1218.7996710558448,1295.9175284852088
BufferF(41),238.5591,-649.3903,871.4264,92.7359,90.0,-180.0,994.3678060549896,1239.5510155002262
BufferF(42),118.7866,-648.5944,870.017,93.27341,90.0,-180.0,1021.3593346668183,1224.388783931515
BufferF(43),5.310122,-648.8371,870.0149,92.42956,90.0,-180.0,1060.3958837069388,1222.3679820529621
BufferF(44),-110.155,-649.3185,870.0119,92.08959,90.0,-180.0,1110.7733522579092,1231.2662610242262
BufferF(45),-227.0623,-649.7561,870.011,91.90273,90.0,-180.0,1171.1862150741551,1251.0798589389158
